Year,Month,Industry_Section,Occupation_Group,Number_of_Vacancies
2016,March,Manufacturing,Managers,39
2016,March,Manufacturing,Professionals,100
2016,March,Manufacturing,Associate_Professionals,181
2016,March,Manufacturing,Clerical_Support_Workers,201
2016,March,Manufacturing,Service_Sales_Workers,488
2016,March,Manufacturing,Craft_Related_Workers,764
2016,March,Manufacturing,Plant_Machine_Operators,350
2016,March,Manufacturing,Skilled_Agricultural_Fishery,0
2016,March,Manufacturing,Elementary_Occupations,761
2016,March,Manufacturing,Total,2884
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Managers,11
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Professionals,13
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Associate_Professionals,54
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Clerical_Support_Workers,86
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Service_Sales_Workers,21
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Craft_Related_Workers,31
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Plant_Machine_Operators,24
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Skilled_Agricultural_Fishery,0
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Elementary_Occupations,47
2016,March,"Mining, Quarrying, Electricity, Gas, Waste Management",Total,287
2016,March,Construction Sites (Manual Workers),Managers,NA
2016,March,Construction Sites (Manual Workers),Professionals,NA
2016,March,Construction Sites (Manual Workers),Associate_Professionals,NA
2016,March,Construction Sites (Manual Workers),Clerical_Support_Workers,NA
2016,March,Construction Sites (Manual Workers),Service_Sales_Workers,NA
2016,March,Construction Sites (Manual Workers),Craft_Related_Workers,743
2016,March,Construction Sites (Manual Workers),Plant_Machine_Operators,101
2016,March,Construction Sites (Manual Workers),Skilled_Agricultural_Fishery,NA
2016,March,Construction Sites (Manual Workers),Elementary_Occupations,116
2016,March,Construction Sites (Manual Workers),Total,960
2016,March,"G: Import/export, wholesale and retail trades",Managers,597
2016,March,"G: Import/export, wholesale and retail trades",Professionals,463
