"Year","Period","Industry","Male","Female","Both_Sexes"
2008,"Annual","Manufacturing",13000,7000,11000
2008,"Annual","Construction",10500,9500,10400
2008,"Annual","Import/Export Trade and Wholesale",15000,12000,13000
2008,"Annual","Retail, Accommodation and Food Services",10000,7000,8000
2008,"Annual","Retail",9500,7500,8000
2008,"Annual","Accommodation and Food Services",10500,6500,8000
2008,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",11000,12000,11000
2008,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",13500,12000,12100
2008,"Annual","Financing and Insurance",24000,17000,20000
2008,"Annual","Real Estate and Professional Services",11000,8500,10000
2008,"Annual","Public Admin, Social and Personal Services",17000,6000,9100
2008,"Annual","Other Industries",15000,10000,14000
2008,"Annual","Overall",12000,8500,10600
2009,"Annual","Manufacturing",12500,7500,11000
2009,"Annual","Construction",10500,9800,10500
2009,"Annual","Import/Export Trade and Wholesale",15000,12000,13000
2009,"Annual","Retail, Accommodation and Food Services",10000,7000,8000
2009,"Annual","Retail",9000,7500,8000
2009,"Annual","Accommodation and Food Services",10500,6500,8000
2009,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",11000,12000,11000
2009,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",14000,12000,12500
2009,"Annual","Financing and Insurance",22000,17000,20000
2009,"Annual","Real Estate and Professional Services",11000,8500,9900
2009,"Annual","Public Admin, Social and Personal Services",17000,6000,9000
2009,"Annual","Other Industries",14500,10500,14000
2009,"Annual","Overall",12000,8500,10500
2010,"Annual","Manufacturing",13000,8000,12000
2010,"Annual","Construction",11000,10300,11000
2010,"Annual","Import/Export Trade and Wholesale",15000,12000,13000
2010,"Annual","Retail, Accommodation and Food Services",10000,7500,8000
2010,"Annual","Retail",9800,7500,8100
2010,"Annual","Accommodation and Food Services",10200,7000,8000
2010,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",11000,12500,12000
2010,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",14400,12000,13000
2010,"Annual","Financing and Insurance",24000,17000,20000
2010,"Annual","Real Estate and Professional Services",11000,9000,10000
2010,"Annual","Public Admin, Social and Personal Services",17000,6500,9500
2010,"Annual","Other Industries",15800,15000,15000
2010,"Annual","Overall",12000,9000,11000
2011,"Annual","Manufacturing",14000,8100,12000
2011,"Annual","Construction",12000,10000,11500
2011,"Annual","Import/Export Trade and Wholesale",18000,12300,15000
2011,"Annual","Retail, Accommodation and Food Services",10500,8000,8500
2011,"Annual","Retail",10000,8000,8500
2011,"Annual","Accommodation and Food Services",11000,7500,8500
2011,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",12000,13000,12000
2011,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",15000,12000,13000
2011,"Annual","Financing and Insurance",24000,18000,20000
2011,"Annual","Real Estate and Professional Services",12000,9000,10800
2011,"Annual","Public Admin, Social and Personal Services",17500,7000,10000
2011,"Annual","Other Industries",15000,13000,15000
2011,"Annual","Overall",13000,9300,11300
2012,"Annual","Manufacturing",15000,9000,12600
2012,"Annual","Construction",13000,12000,12700
2012,"Annual","Import/Export Trade and Wholesale",18600,13000,15000
2012,"Annual","Retail, Accommodation and Food Services",11300,8500,9500
2012,"Annual","Retail",11000,9000,9500
2012,"Annual","Accommodation and Food Services",12000,8000,9500
2012,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",13000,13500,13000
2012,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",15000,13000,15000
2012,"Annual","Financing and Insurance",25900,20000,21300
2012,"Annual","Real Estate and Professional Services",12000,10000,11300
2012,"Annual","Public Admin, Social and Personal Services",20000,7000,10200
2012,"Annual","Other Industries",16600,11000,16000
2012,"Annual","Overall",14500,10000,12000
2013,"Annual","Manufacturing",15000,9300,13000
2013,"Annual","Construction",14000,12000,14000
2013,"Annual","Import/Export Trade and Wholesale",20000,14000,15000
2013,"Annual","Retail, Accommodation and Food Services",12000,9000,10100
2013,"Annual","Retail",12000,9500,10300
2013,"Annual","Accommodation and Food Services",12000,8500,10000
2013,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",13600,14000,13900
2013,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",17000,13300,15000
2013,"Annual","Financing and Insurance",26300,20000,22000
2013,"Annual","Real Estate and Professional Services",13500,10500,12000
2013,"Annual","Public Admin, Social and Personal Services",20000,7000,10500
2013,"Annual","Other Industries",18500,12000,17400
2013,"Annual","Overall",15000,10500,13000
2014,"Annual","Manufacturing",15000,9500,14000
2014,"Annual","Construction",15000,12000,15000
2014,"Annual","Import/Export Trade and Wholesale",20000,15000,16000
2014,"Annual","Retail, Accommodation and Food Services",13000,9500,11000
2014,"Annual","Retail",12800,10000,11000
2014,"Annual","Accommodation and Food Services",13000,9000,11000
2014,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",14500,15000,15000
2014,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",18000,14000,15100
2014,"Annual","Financing and Insurance",28000,20000,23000
2014,"Annual","Real Estate and Professional Services",15000,11000,13000
2014,"Annual","Public Admin, Social and Personal Services",20000,7700,11000
2014,"Annual","Other Industries",19000,14500,18000
2014,"Annual","Overall",15000,11000,13400
2015,"Annual","Manufacturing",16000,10500,15000
2015,"Annual","Construction",15600,13000,15000
2015,"Annual","Import/Export Trade and Wholesale",20000,15000,17000
2015,"Annual","Retail, Accommodation and Food Services",13700,10000,11400
2015,"Annual","Retail",13700,10500,11800
2015,"Annual","Accommodation and Food Services",13700,9500,11000
2015,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",15000,15000,15000
2015,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",20000,15000,17000
2015,"Annual","Financing and Insurance",30000,21700,25000
2015,"Annual","Real Estate and Professional Services",16000,12000,14000
2015,"Annual","Public Admin, Social and Personal Services",20000,8000,12000
2015,"Annual","Other Industries",19200,14500,18000
2015,"Annual","Overall",16500,11700,14500
2016,"Annual","Manufacturing",17000,11100,15000
2016,"Annual","Construction",17300,14400,17000
2016,"Annual","Import/Export Trade and Wholesale",21000,15000,18200
2016,"Annual","Retail, Accommodation and Food Services",14900,11000,12000
2016,"Annual","Retail",14200,11000,12000
2016,"Annual","Accommodation and Food Services",15000,10500,12000
2016,"Annual","Transportation, Storage, Postal, Courier, Info and Comm",16000,16500,16000
2016,"Annual","Finance, Insurance, Real Estate, Prof and Business Services",20000,15000,18000
2016,"Annual","Financing and Insurance",30400,22000,26300
2016,"Annual","Real Estate and Professional Services",16000,12400,15000
2016,"Annual","Public Admin, Social and Personal Services",22000,8000,12000
2016,"Annual","Other Industries",19500,13500,18000
